spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
buildings,lack of organization,difficulty in navigation,negative,202212_113.85654014549672_22.5764781366429.png
buildings,sense of order,navigate effectively,positive,202212_113.8545892_22.5812425.png
streets,complex organization,explore surroundings,neutral,202212_113.8545892_22.5812425.png
traffic,orderliness in chaos,cross safely,positive,202212_113.8545892_22.5812425.png
signs,guidance,follow directions,positive,202212_113.8545892_22.5812425.png
crosswalks,sense of safety,walk confidently,positive,202212_113.8545892_22.5812425.png
pedestrian areas,comfort,linger or socialize,positive,202212_113.8545892_22.5812425.png
density,overwhelmed,avoid crowded spaces,negative,202212_113.8545892_22.5812425.png
architectural styles,confusion,hesitate to explore,negative,202212_113.8545892_22.5812425.png
intersection,dynamic environment,stay alert,neutral,202212_113.8545892_22.5812425.png
buildings,sense of order,navigate effectively,positive,202212_113.8580102_22.7474771.png
infrastructure,predictability,plan routes,positive,202212_113.8580102_22.7474771.png
road,spatial coherence,drive smoothly,neutral,202212_113.8580102_22.7474771.png
buildings,sense of order,understanding physical layout,positive,202212_113.8597812_22.757076.png
roads,sense of organization,navigating campus,positive,202212_113.8597812_22.757076.png
trees,sense of order,enjoying the environment,positive,202212_113.8597812_22.757076.png
lanes,clarity in layout,following paths,positive,202212_113.8597812_22.757076.png
crossings,sense of safety,crossing streets,positive,202212_113.8597812_22.757076.png
signals,sense of organization,obeying traffic rules,positive,202212_113.8597812_22.757076.png
lanes,sense of order,navigate effectively,positive,202212_113.8596866_22.584260100000005.png
sidewalks,sense of safety,walk comfortably,positive,202212_113.8596866_22.584260100000005.png
buildings,understandable arrangement,explore surroundings,positive,202212_113.8596866_22.584260100000005.png
road markings,clarity in navigation,follow traffic rules,positive,202212_113.8596866_22.584260100000005.png
streetlights,enhanced visibility,move safely at night,positive,202212_113.8596866_22.584260100000005.png
architectural styles,aesthetic coherence,appreciate design,positive,202212_113.8596866_22.584260100000005.png
trees,sense of order,appreciate organization,positive,202212_113.86139183326183_22.587593857146626.png
cars,lack of unity,feel disorganized,negative,202212_113.86139183326183_22.587593857146626.png
buildings,functional appearance,accept practicality,neutral,202212_113.86139183326183_22.587593857146626.png
landscape,sense of order,increased navigation ease,positive,202212_113.8636945_22.562847000000005.png
roads,organized structure,encouraged movement,positive,202212_113.8636945_22.562847000000005.png
buildings,functional layout,promoted social interaction,positive,202212_113.8636945_22.562847000000005.png
traffic lights,logical arrangement,enhanced safety awareness,positive,202212_113.8636945_22.562847000000005.png
sidewalks,clear pathways,facilitated walking,positive,202212_113.8636945_22.562847000000005.png
sidewalks,sense of organization,navigate safely,positive,202212_113.8640649_22.567990099999996.png
crosswalks,sense of organization,cross streets confidently,positive,202212_113.8640649_22.567990099999996.png
trees,sense of order,enjoy the environment,positive,202212_113.8640649_22.567990099999996.png
buildings,sense of organization,utilize space effectively,positive,202212_113.8640649_22.567990099999996.png
railings,sense of safety,move with assurance,positive,202212_113.8640649_22.567990099999996.png
lanes,sense of order,drive smoothly,positive,202212_113.8640649_22.567990099999996.png
buildings,low coherence,disengagement,negative,202212_113.86498786842455_22.57777518918295.png
construction,disorganized environment,avoidance,negative,202212_113.86498786842455_22.57777518918295.png
street,haphazard layout,confusion,negative,202212_113.86498786842455_22.57777518918295.png
roads,sense of order,understanding layout,positive,202212_113.8632908_22.5739675.png
buildings,feeling of coherence,navigating space,positive,202212_113.8632908_22.5739675.png
sidewalks,ease of movement,walking safely,positive,202212_113.8632908_22.5739675.png
crosswalks,safety awareness,crossing streets,positive,202212_113.8632908_22.5739675.png
traffic lights,traffic regulation,waiting to cross,positive,202212_113.8632908_22.5739675.png
roads,sense of organization,increased navigation ease,positive,202212_113.86414052903964_22.586332519108115.png
sidewalks,safety and comfort,encouraged walking,positive,202212_113.86414052903964_22.586332519108115.png
buildings,structured environment,promotes social interaction,positive,202212_113.86414052903964_22.586332519108115.png
streetlights,sense of security,extended outdoor activities,positive,202212_113.86414052903964_22.586332519108115.png
traffic signals,orderliness,reduced accidents,positive,202212_113.86414052903964_22.586332519108115.png
stalls,visual disarray,potential distraction,negative,202212_113.86414052903964_22.586332519108115.png
styles,aesthetic inconsistency,confusion in navigation,negative,202212_113.86414052903964_22.586332519108115.png
roads,feeling of clarity,navigating easily,positive,202212_113.86570061161206_22.794354983772386.png
sidewalks,feeling of clarity,navigating easily,positive,202212_113.86570061161206_22.794354983772386.png
green,feeling of clarity,navigating easily,positive,202212_113.86570061161206_22.794354983772386.png
buildings,sense of order,understanding relationships,positive,202212_113.86570061161206_22.794354983772386.png
infrastructure,sense of order,understanding relationships,positive,202212_113.86570061161206_22.794354983772386.png
buildings,sense of order,navigating efficiently,positive,202212_113.8657175_22.5720624.png
roads,functional layout,using pathways,positive,202212_113.8657175_22.5720624.png
signals,safety awareness,crossing streets,positive,202212_113.8657175_22.5720624.png
walkways,comfort in movement,walking leisurely,positive,202212_113.8657175_22.5720624.png
traffic,controlled environment,driving smoothly,positive,202212_113.8657175_22.5720624.png
road,clear division,navigate effectively,positive,202212_113.86693239299775_22.5059467417505.png
signage,sense of direction,follow paths,positive,202212_113.86693239299775_22.5059467417505.png
barriers,visual order,feel secure,positive,202212_113.86693239299775_22.5059467417505.png
greenery,aesthetic appeal,enjoy surroundings,positive,202212_113.86693239299775_22.5059467417505.png
construction,disorder,avoid area,negative,202212_113.86693239299775_22.5059467417505.png
markings,organization,follow rules,positive,202212_113.86693239299775_22.5059467417505.png
environment,less settled,hesitate to engage,negative,202212_113.86693239299775_22.5059467417505.png
intersection,sense of coherence,navigate effectively,positive,202212_113.86692496876104_22.779669474003793.png
markings,clear organization,follow traffic rules,positive,202212_113.86692496876104_22.779669474003793.png
crossings,safety awareness,cross streets confidently,positive,202212_113.86692496876104_22.779669474003793.png
lights,guidance,make informed decisions,positive,202212_113.86692496876104_22.779669474003793.png
buildings,visual order,explore surroundings,positive,202212_113.86692496876104_22.779669474003793.png
infrastructure,functional clarity,move with purpose,positive,202212_113.86692496876104_22.779669474003793.png
road,sense of order,easier navigation,positive,202212_113.8680685_22.5560727.png
lanes,clear understanding,following traffic rules,positive,202212_113.8680685_22.5560727.png
crossings,safety awareness,crossing roads confidently,positive,202212_113.8680685_22.5560727.png
signals,alertness,obeying traffic signals,positive,202212_113.8680685_22.5560727.png
buildings,planned environment,exploring surroundings,positive,202212_113.8680685_22.5560727.png
streetscape,sense of coherence,navigate effectively,positive,202212_113.8678988863987_22.7557755812611.png
roads,understandable layout,follow traffic rules,positive,202212_113.8678988863987_22.7557755812611.png
buildings,sense of organization,engage with space,positive,202212_113.8678988863987_22.7557755812611.png
layout,sense of order,navigate easily,positive,202212_113.8682293_22.500636199999995.png
infrastructure,easy to comprehend,follow traffic rules,positive,202212_113.8682293_22.500636199999995.png
traffic,predictable flow,drive confidently,positive,202212_113.8682293_22.500636199999995.png
buildings,somewhat organized,navigate space,positive,202212_113.86841_22.5698707.png
infrastructure,functional,utilize facilities,positive,202212_113.86841_22.5698707.png
train tracks,visual complexity,avoid areas,negative,202212_113.86841_22.5698707.png
overpasses,visual complexity,avoid areas,negative,202212_113.86841_22.5698707.png
stalls,visual complexity,explore vendors,neutral,202212_113.86841_22.5698707.png
street,sense of order,increased navigation,positive,202212_113.86833378117981_22.75753436225509.png
buildings,consistent style,enhanced comfort,positive,202212_113.86833378117981_22.75753436225509.png
road,some level of planning,navigate the space,positive,202212_113.8695148_22.550518499999992.png
vehicles,disjointed impression,avoid the area,negative,202212_113.8695148_22.550518499999992.png
buildings,difficult to perceive order,question the layout,negative,202212_113.8695148_22.550518499999992.png
containers,degree of order,navigate effectively,positive,202212_113.86893823759733_22.512196730888455.png
trucks,sense of organization,move in an orderly manner,positive,202212_113.86893823759733_22.512196730888455.png
road,clear guidance,follow traffic rules,positive,202212_113.86893823759733_22.512196730888455.png
scene,lack of integration,feel disconnected,negative,202212_113.86893823759733_22.512196730888455.png
harmony,absence of natural harmony,experience discomfort,negative,202212_113.86893823759733_22.512196730888455.png
roads,sense of predictability,navigate efficiently,positive,202212_113.8699438_22.493329299999992.png
lanes,sense of order,follow designated paths,positive,202212_113.8699438_22.493329299999992.png
supports,functional design,utilize infrastructure,positive,202212_113.8699438_22.493329299999992.png
buildings,organized environment,engage with surroundings,positive,202212_113.8699438_22.493329299999992.png
greenery,balance with nature,relax and enjoy,positive,202212_113.8699438_22.493329299999992.png
buildings,sense of order,navigate effectively,positive,202212_113.87025091027085_22.757214906927555.png
vehicles,organized environment,park appropriately,positive,202212_113.87025091027085_22.757214906927555.png
infrastructure,functional layout,use facilities efficiently,positive,202212_113.87025091027085_22.757214906927555.png
density,slightly chaotic feel,avoid crowded areas,negative,202212_113.87025091027085_22.757214906927555.png
variety,mixed architectural styles,explore diverse spaces,neutral,202212_113.87025091027085_22.757214906927555.png
roads,sense of order,navigate easily,positive,202212_113.87041220000002_22.5580962.png
crossings,sense of safety,cross streets confidently,positive,202212_113.87041220000002_22.5580962.png
buildings,visual coherence,explore the area,positive,202212_113.87041220000002_22.5580962.png
lights,clarity of movement,follow traffic rules,positive,202212_113.87041220000002_22.5580962.png
signs,understanding of layout,plan routes effectively,positive,202212_113.87041220000002_22.5580962.png
buildings,sense of order,navigate effectively,positive,202212_113.87061531067916_22.501340995918188.png
construction,sense of disarray,avoid areas,negative,202212_113.87061531067916_22.501340995918188.png
vehicles,confusion,hesitate to cross,negative,202212_113.87061531067916_22.501340995918188.png
road,somewhat organized,move along,neutral,202212_113.87061531067916_22.501340995918188.png
layout,sense of coherence,navigate effectively,positive,202212_113.8729224_22.555575599999997.png
traffic,orderliness,follow traffic rules,positive,202212_113.8729224_22.555575599999997.png
buildings,logical arrangement,move confidently,positive,202212_113.8729224_22.555575599999997.png
trees,somewhat structured integration,encourages outdoor activities,positive,202212_113.87181100000001_22.5878447.png
overpasses,visual complexity,may deter exploration,negative,202212_113.87181100000001_22.5878447.png
construction,disruption of order,reduces social interaction,negative,202212_113.87181100000001_22.5878447.png
road,discernible organization,facilitates navigation,positive,202212_113.87181100000001_22.5878447.png
green spaces,enhanced tranquility,promotes relaxation,positive,202212_113.87181100000001_22.5878447.png
street,sense of order,navigate effectively,positive,202212_113.8707263_22.568021299999998.png
bicycles,sense of clutter,avoid congestion,negative,202212_113.8707263_22.568021299999998.png
buildings,visual complexity,explore surroundings,negative,202212_113.8707263_22.568021299999998.png
advertisements,distraction,focus on essentials,negative,202212_113.8707263_22.568021299999998.png
sidewalks,general layout,walk comfortably,neutral,202212_113.8707263_22.568021299999998.png
roads,sense of order,easy navigation,positive,202212_113.8740603_22.5500979.png
buildings,predictability,comfort in movement,positive,202212_113.8740603_22.5500979.png
traffic lights,control,safe crossing,positive,202212_113.8740603_22.5500979.png
crosswalks,clarity,increased pedestrian activity,positive,202212_113.8740603_22.5500979.png
intersection,high degree of organization,regulated movement,positive,202212_113.8741326_22.565286099999998.png
signals,sense of order,following traffic rules,positive,202212_113.8741326_22.565286099999998.png
markings,clarity in navigation,safe crossing,positive,202212_113.8741326_22.565286099999998.png
crosswalks,safety assurance,crossing the street,positive,202212_113.8741326_22.565286099999998.png
buildings,structured environment,engaging with surroundings,positive,202212_113.8741326_22.565286099999998.png
roads,defined pathways,navigating the area,positive,202212_113.8741326_22.565286099999998.png
sidewalks,sense of order,increased pedestrian activity,positive,202212_113.87458380000001_22.582022299999995.png
buildings,functional design,encouragement of urban interaction,positive,202212_113.87458380000001_22.582022299999995.png
greenery,calming effect,desire to spend time outdoors,positive,202212_113.87458380000001_22.582022299999995.png
clutter,visual confusion,avoidance of the area,negative,202212_113.87458380000001_22.582022299999995.png
vehicles,sense of congestion,hesitation to navigate the street,negative,202212_113.87458380000001_22.582022299999995.png
intersection,sense of order,navigate effectively,positive,202212_113.875372_22.7684626.png
streetlights,enhanced visibility,feel safe at night,positive,202212_113.875372_22.7684626.png
barriers,defined boundaries,follow traffic rules,positive,202212_113.875372_22.7684626.png
buildings,structured environment,explore surroundings,positive,202212_113.875372_22.7684626.png
greenery,calming effect,spend time outdoors,positive,202212_113.875372_22.7684626.png
intersection,sense of order,navigate efficiently,positive,202212_113.8750762_22.7877928.png
roads,predictability,follow traffic rules,positive,202212_113.8750762_22.7877928.png
buildings,visual clutter,feel overwhelmed,negative,202212_113.8750762_22.7877928.png
traffic lights,control,wait for crossing,positive,202212_113.8750762_22.7877928.png
zebra crossings,safety,cross the street,positive,202212_113.8750762_22.7877928.png
shops,commercial activity,shop or browse,positive,202212_113.8750762_22.7877928.png
intersection,sense of order,navigate effectively,positive,202212_113.87583200000002_22.5712724.png
markings,clarity in navigation,follow traffic rules,positive,202212_113.87583200000002_22.5712724.png
signals,safety awareness,stop and go appropriately,positive,202212_113.87583200000002_22.5712724.png
buildings,structured environment,engage with surroundings,positive,202212_113.87583200000002_22.5712724.png
layout,sense of organization,navigate efficiently,positive,202212_113.8767009_22.5506245.png
barriers,diminished coherence,avoid disruption,negative,202212_113.8767009_22.5506245.png
environment,sense of coherence,understanding spatial arrangement,positive,202212_113.8757923_22.514260899999996.png
infrastructure,structured layout,navigating easily,positive,202212_113.8757923_22.514260899999996.png
road,predictable layout,following traffic rules,positive,202212_113.8757923_22.514260899999996.png
intersection,sense of order,understanding flow,positive,202212_113.8764399_22.5633237.png
traffic,predictable organization,navigating safely,positive,202212_113.8764399_22.5633237.png
signage,clarity,following directions,positive,202212_113.8764399_22.5633237.png
roads,clear organizational structure,navigate easily,positive,202212_113.87765440000001_22.775584799999997.png
crosswalks,sense of safety,cross streets confidently,positive,202212_113.87765440000001_22.775584799999997.png
traffic signs,understanding of rules,follow traffic regulations,positive,202212_113.87765440000001_22.775584799999997.png
buildings,logical arrangement,explore the area,positive,202212_113.87765440000001_22.775584799999997.png
infrastructure,sense of order,move through space efficiently,positive,202212_113.87765440000001_22.775584799999997.png
complexity,slight confusion,hesitate to navigate,negative,202212_113.87765440000001_22.775584799999997.png
environment,degree of coherence,navigate effectively,positive,202212_113.8790022_22.50900620000001.png
skyscrapers,fragmented visual experience,feel disoriented,negative,202212_113.8790022_22.50900620000001.png
highways,underlying order,move confidently,positive,202212_113.8790022_22.50900620000001.png
construction,detracts from coherence,avoid certain areas,negative,202212_113.8790022_22.50900620000001.png
roads,sense of coherence,navigate efficiently,positive,202212_113.8790194_22.5608856.png
crosswalks,sense of safety,cross streets confidently,positive,202212_113.8790194_22.5608856.png
traffic lights,orderly flow,follow traffic rules,positive,202212_113.8790194_22.5608856.png
buildings,structured environment,engage with surroundings,positive,202212_113.8790194_22.5608856.png
greenery,visual order,enjoy the scenery,positive,202212_113.8790194_22.5608856.png
barriers,disorganized feeling,avoidance of the area,negative,202212_113.879215_22.5202798.png
trucks,busy environment,hesitation to engage,negative,202212_113.879215_22.5202798.png
intersection,chaotic atmosphere,caution when crossing,negative,202212_113.879215_22.5202798.png
buildings,lack of order,disinterest in exploration,negative,202212_113.879215_22.5202798.png
trees,minimal comfort,limited relaxation,negative,202212_113.879215_22.5202798.png
roads,sense of structure,easier navigation,positive,202212_113.8823777_22.5221444.png
buildings,degree of order,enhanced understanding,positive,202212_113.8823777_22.5221444.png
construction,organization,improved clarity,positive,202212_113.8823777_22.5221444.png
road,well-maintained,increased comfort,positive,202212_113.8823777_22.5221444.png
markings,clear guidance,reduced confusion,positive,202212_113.8823777_22.5221444.png
road,sense of order,navigate effectively,positive,202212_113.88112989451119_22.800107612098568.png
traffic,slight distraction,caution in movement,negative,202212_113.88112989451119_22.800107612098568.png
greenery,planned environment,appreciate aesthetics,positive,202212_113.88112989451119_22.800107612098568.png
roads,sense of organization,navigate effectively,positive,202212_113.8828072_22.5116265.png
buildings,functional impression,utilize spaces,neutral,202212_113.8828072_22.5116265.png
traffic,visual complexity,hesitate at intersections,negative,202212_113.8828072_22.5116265.png
layout,sense of order,navigate effectively,positive,202212_113.881676_22.5046663.png
signals,safety awareness,follow traffic rules,positive,202212_113.881676_22.5046663.png
overpasses,confidence in infrastructure,utilize transportation,positive,202212_113.881676_22.5046663.png
intersection,clarity in direction,make informed decisions,positive,202212_113.881676_22.5046663.png
intersection,strong sense of coherence,navigate effectively,positive,202212_113.8831621_22.5645249.png
traffic lights,clear organization,follow traffic rules,positive,202212_113.8831621_22.5645249.png
pedestrian crossings,sense of safety,cross the street,positive,202212_113.8831621_22.5645249.png
road markings,orderly environment,drive cautiously,positive,202212_113.8831621_22.5645249.png
barriers,defined boundaries,stay within safe zones,positive,202212_113.8831621_22.5645249.png
buildings,logical urban planning,explore the area,positive,202212_113.8831621_22.5645249.png
street,degree of order,navigate effectively,positive,202212_113.8820283_22.786342899999998.png
signage,sense of clutter,experience confusion,negative,202212_113.8820283_22.786342899999998.png
buildings,varying architectural styles,appreciate diversity,neutral,202212_113.8820283_22.786342899999998.png
traffic,organization of flow,move through space,positive,202212_113.8820283_22.786342899999998.png
activity,ongoing engagement,participate in the environment,positive,202212_113.8820283_22.786342899999998.png
buildings,chaotic visual impression,difficulty in navigation,negative,202212_113.8839338_22.792216499999995.png
roads,lack of order,confusion in movement,negative,202212_113.8839338_22.792216499999995.png
construction,disorganized environment,hesitation to explore,negative,202212_113.8839338_22.792216499999995.png
crosswalks,minimal clarity,cautious crossing,negative,202212_113.8839338_22.792216499999995.png
roads,sense of coherence,navigate efficiently,positive,202212_113.8849908_22.5489006.png
crossings,sense of safety,cross the street,positive,202212_113.8849908_22.5489006.png
signals,orderliness,follow traffic rules,positive,202212_113.8849908_22.5489006.png
buildings,visual harmony,engage with surroundings,positive,202212_113.8849908_22.5489006.png
management,well-ordered system,maintain traffic flow,positive,202212_113.8849908_22.5489006.png
appearance,cleanliness,promote well-being,positive,202212_113.8849908_22.5489006.png
street,strong sense of coherence,easy navigation,positive,202212_113.8847561_22.7854292.png
trees,orderly environment,enhanced visual clarity,positive,202212_113.8847561_22.7854292.png
sidewalks,clear understanding,encouraged walking,positive,202212_113.8847561_22.7854292.png
buildings,modern aesthetic,attraction to space,positive,202212_113.8847561_22.7854292.png
road,predictable environment,navigate safely,neutral,202212_113.88385370925388_22.501175719282536.png
greenery,somewhat ordered,enhance aesthetic appeal,positive,202212_113.88385370925388_22.501175719282536.png
buildings,infrastructure focus,utilize urban resources,neutral,202212_113.88385370925388_22.501175719282536.png
roads,chaotic arrangement,discomfort in navigation,negative,202212_113.8850821_22.800133999999996.png
traffic lights,confusion,hesitation to cross,negative,202212_113.8850821_22.800133999999996.png
buildings,lack of order,avoidance of the area,negative,202212_113.8850821_22.800133999999996.png
greenery,slight relief,pause to enjoy nature,positive,202212_113.8850821_22.800133999999996.png
roads,sense of coherence,navigate effectively,positive,202212_113.8850943_22.7812449.png
buildings,planned infrastructure,explore surroundings,positive,202212_113.8850943_22.7812449.png
traffic,overwhelming density,exercise caution,negative,202212_113.8850943_22.7812449.png
grid,underlying organization,follow routes,positive,202212_113.8850943_22.7812449.png
trees,sense of order,increased comfort,positive,202212_113.88602950000002_22.482492799999996.png
buildings,stability,encouraged exploration,positive,202212_113.88602950000002_22.482492799999996.png
roads,clarity,facilitated movement,positive,202212_113.88602950000002_22.482492799999996.png
construction,disruption,hesitation to engage,negative,202212_113.88602950000002_22.482492799999996.png
intersection,sense of order,easier navigation,positive,202212_113.8857684_22.813489699999998.png
buildings,predictability,comfort in movement,positive,202212_113.8857684_22.813489699999998.png
traffic,understanding of structure,informed decision-making,positive,202212_113.8857684_22.813489699999998.png
layout,clear organizational structure,navigating effectively,positive,202212_113.8871212311432_22.59073404108649.png
buildings,sense of order,feeling secure,positive,202212_113.8871212311432_22.59073404108649.png
traffic,well-planned environment,following traffic rules,positive,202212_113.8871212311432_22.59073404108649.png
sidewalks,designated places,walking confidently,positive,202212_113.8871212311432_22.59073404108649.png
intersection,sense of order,navigate safely,positive,202212_113.8862681_22.5508395.png
buildings,cohesive urban landscape,engage with surroundings,positive,202212_113.8862681_22.5508395.png
infrastructure,predictable environment,move confidently,positive,202212_113.8862681_22.5508395.png
traffic lights,clear spatial arrangement,follow traffic rules,positive,202212_113.8862681_22.5508395.png
pedestrian crossings,sense of safety,cross streets,positive,202212_113.8862681_22.5508395.png
roads,structured organization,navigate effectively,positive,202212_113.8854323_22.554729599999998.png
buildings,feeling of order,engage with surroundings,positive,202212_113.8854323_22.554729599999998.png
density,visual complexity,experience slight discomfort,negative,202212_113.8854323_22.554729599999998.png
intersection,sense of order,navigate safely,positive,202212_113.8873515_22.494999999999997.png
lanes,organized flow,follow traffic rules,positive,202212_113.8873515_22.494999999999997.png
zebra crossings,safety awareness,cross the street,positive,202212_113.8873515_22.494999999999997.png
traffic signals,predictability,wait for green light,positive,202212_113.8873515_22.494999999999997.png
overhead structures,protection from elements,move through area,positive,202212_113.8873515_22.494999999999997.png
intersection,moderate coherence,navigate effectively,positive,202212_113.8864527_22.5249772.png
roads,sense of order,follow traffic rules,positive,202212_113.8864527_22.5249772.png
buildings,lack of harmony,hesitate in movement,negative,202212_113.8864527_22.5249772.png
construction,disruption of flow,avoid certain areas,negative,202212_113.8864527_22.5249772.png
road,moderate order,exploration,neutral,202212_113.88794576517202_22.47006173226548.png
barriers,clear organization,navigation,positive,202212_113.88794576517202_22.47006173226548.png
vegetation,untamed nature,curiosity,negative,202212_113.88794576517202_22.47006173226548.png
streets,sense of order,navigate easily,positive,202212_113.887967_22.552325399999997.png
crosswalks,sense of order,cross safely,positive,202212_113.887967_22.552325399999997.png
traffic lights,sense of order,follow traffic rules,positive,202212_113.887967_22.552325399999997.png
buildings,predictable environment,understand layout,positive,202212_113.887967_22.552325399999997.png
roads,moderate perception of order,easy understanding,neutral,202212_113.88941312771921_22.586060774361265.png
sidewalks,moderate perception of order,easy understanding,neutral,202212_113.88941312771921_22.586060774361265.png
buildings,moderate perception of order,easy understanding,neutral,202212_113.88941312771921_22.586060774361265.png
traffic,moderate perception of order,easy understanding,neutral,202212_113.88941312771921_22.586060774361265.png
vehicles,chaotic arrangement,discomfort in navigation,negative,202212_113.8906631_22.5097598.png
materials,lack of organization,hesitation to engage,negative,202212_113.8906631_22.5097598.png
road,sense of disorder,avoidance of use,negative,202212_113.8906631_22.5097598.png
intersection,sense of order,navigate safely,positive,202212_113.8889769_22.5227376.png
lanes,clear organization,follow traffic rules,positive,202212_113.8889769_22.5227376.png
crosswalks,sense of safety,cross the street,positive,202212_113.8889769_22.5227376.png
buildings,planned development,appreciate urban design,positive,202212_113.8889769_22.5227376.png
infrastructure,organized environment,utilize public services,positive,202212_113.8889769_22.5227376.png
layout,sense of structure,understand space,positive,202212_113.8889769_22.5227376.png
roads,sense of order,navigate efficiently,positive,202212_113.88988389932364_22.53406064010756.png
sidewalks,safety and accessibility,encourage walking,positive,202212_113.88988389932364_22.53406064010756.png
buildings,urban identity,engage with surroundings,positive,202212_113.88988389932364_22.53406064010756.png
traffic,dynamic environment,stay alert,neutral,202212_113.88988389932364_22.53406064010756.png
buildings,sense of order,navigate easily,positive,202212_113.8890628_22.783663699999995.png
signage,clarity of information,make informed decisions,positive,202212_113.8890628_22.783663699999995.png
road,safety awareness,cross streets confidently,positive,202212_113.8890628_22.783663699999995.png
traffic signals,traffic regulation,follow traffic rules,positive,202212_113.8890628_22.783663699999995.png
pedestrian crossings,encouragement to walk,use designated paths,positive,202212_113.8890628_22.783663699999995.png
road,moderate coherence,navigate effectively,positive,202212_113.89013793409188_22.77905016065612.png
buildings,logical organization,explore campus,positive,202212_113.89013793409188_22.77905016065612.png
greenery,sense of order,relax and enjoy,positive,202212_113.89013793409188_22.77905016065612.png
architecture,slight disorganization,question layout,negative,202212_113.89013793409188_22.77905016065612.png
signage,confusion,seek clarification,negative,202212_113.89013793409188_22.77905016065612.png
construction,sense of disarray,avoidance of the area,negative,202212_113.8895968_22.505542500000004.png
infrastructure,lack of stability,hesitation to engage,negative,202212_113.8895968_22.505542500000004.png
roads,temporary organization,navigation through chaos,neutral,202212_113.8895968_22.505542500000004.png
road,sense of order,navigate easily,positive,202212_113.889295_22.4965517.png
sidewalk,sense of organization,walk comfortably,positive,202212_113.889295_22.4965517.png
facade,visual coherence,appreciate aesthetics,positive,202212_113.889295_22.4965517.png
lamp,safety feeling,move confidently at night,positive,202212_113.889295_22.4965517.png
barrier,defined boundaries,follow designated paths,positive,202212_113.889295_22.4965517.png
trees,strong sense of coherence,engagement with environment,positive,202212_113.8901847_22.5280826.png
buildings,impression of planned development,navigation through space,positive,202212_113.8901847_22.5280826.png
layout,clear and orderly,ease of movement,positive,202212_113.8901847_22.5280826.png
roads,sense of order,navigate effectively,positive,202212_113.89069028552879_22.521237535308856.png
crosswalks,sense of safety,cross streets confidently,positive,202212_113.89069028552879_22.521237535308856.png
signals,clarity in movement,follow traffic rules,positive,202212_113.89069028552879_22.521237535308856.png
buildings,coherence in environment,explore surroundings,positive,202212_113.89069028552879_22.521237535308856.png
road,moderate coherence,navigate effectively,neutral,202212_113.8908356_22.50234199999999.png
greenery,fragmented view,struggle to orient,negative,202212_113.8908356_22.50234199999999.png
trees,challenging perspective,difficulty in understanding layout,negative,202212_113.8908356_22.50234199999999.png
urban structures,lack of organization,hesitation in movement,negative,202212_113.8908356_22.50234199999999.png
road,sense of order,navigate effectively,positive,202212_113.8909361_22.4762928.png
greenery,sense of order,enjoy surroundings,positive,202212_113.8909361_22.4762928.png
buildings,slightly detracted coherence,hesitate in navigation,negative,202212_113.8909361_22.4762928.png
infrastructure,introduced complexity,feel overwhelmed,negative,202212_113.8909361_22.4762928.png
intersection,overwhelmed by complexity,avoidance of the area,negative,202212_113.8914436_22.790544900000004.png
traffic,confusion,hesitation to cross,negative,202212_113.8914436_22.790544900000004.png
buildings,disorder,distraction from surroundings,negative,202212_113.8914436_22.790544900000004.png
signage,lack of clarity,increased caution,negative,202212_113.8914436_22.790544900000004.png
road markings,uncertainty,delayed movement,negative,202212_113.8914436_22.790544900000004.png
buildings,sense of order,navigate effectively,positive,202212_113.891474774064_22.785579979547432.png
lanes,organized environment,follow traffic rules,positive,202212_113.891474774064_22.785579979547432.png
sidewalks,safety for pedestrians,walk comfortably,positive,202212_113.891474774064_22.785579979547432.png
signage,clarity of navigation,make informed decisions,positive,202212_113.891474774064_22.785579979547432.png
road markings,structured arrangement,drive responsibly,positive,202212_113.891474774064_22.785579979547432.png
roads,strong sense of coherence,navigate effectively,positive,202212_113.8925627_22.768965.png
buildings,sense of order,engage with surroundings,positive,202212_113.8925627_22.768965.png
landscaping,planned environment,appreciate aesthetics,positive,202212_113.8925627_22.768965.png
sidewalks,comfort in movement,walk freely,positive,202212_113.8925627_22.768965.png
buildings,sense of order,navigate effectively,positive,202212_113.8919451_22.504159799999996.png
crossings,organized system,cross safely,positive,202212_113.8919451_22.504159799999996.png
scale,perception of change,adapt to new developments,negative,202212_113.8919451_22.504159799999996.png
road,clear layout,navigate easily,positive,202212_113.8917504_22.5683063.png
trees,sense of order,feel organized,positive,202212_113.8917504_22.5683063.png
buildings,planned structure,appreciate design,positive,202212_113.8917504_22.5683063.png
landscape,organized impression,explore environment,positive,202212_113.8917504_22.5683063.png
street,sense of order,easy navigation,positive,202212_113.89180624418951_22.79290449136687.png
sidewalks,structured appearance,increased pedestrian activity,positive,202212_113.89180624418951_22.79290449136687.png
traffic signals,understanding of layout,following traffic rules,positive,202212_113.89180624418951_22.79290449136687.png
buildings,organized environment,attraction to the area,positive,202212_113.89180624418951_22.79290449136687.png
roads,clear urban layout,navigate effectively,positive,202212_113.8915262_22.7874822.png
sidewalks,sense of order,walk safely,positive,202212_113.8915262_22.7874822.png
buildings,somewhat less organized visual,explore surroundings,negative,202212_113.8915262_22.7874822.png
signage,detracts from order,avoid distractions,negative,202212_113.8915262_22.7874822.png
intersection,sense of predictability,ease of navigation,positive,202212_113.8927901_22.761324599999995.png
